Team,wRC+,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,WAR,ERA-,xFIP-,K/9+,K/BB+,HR/9+,AVG+_1,WHIP+,BABIP+_1,LOB%+,LD%+
SEA,86.41160128279580,92.90790885536250,104.90067467173000,104.43603951363400,95.28714642519120,85.26639563713170,71.7609115141244,96.53918362413110,98.87730216434900,7.85783084549232,92.9533721117926,93.2930530098477,100.475597095142,129.171938442088,99.2343433483619,92.0823178334761,86.5803886886661,91.5156670748258,101.534842735016,102.446291418055
PHI,95.85050237563760,97.77940679441360,99.93116283798860,94.7954411542447,98.78907365076090,98.0349370941509,98.47848523766690,96.70891117165580,101.7288352455220,13.0703800687307,76.2137304674864,86.0337038664519,109.957570771749,121.623242214156,73.7221487018405,91.3985255944196,89.347406907887,96.7025193065298,103.940793548398,106.307344460956
PIT,81.74965400259190,90.53321397085220,94.07545888175710,101.47953543277200,91.81575927053420,87.52389877145080,82.30034535597980,92.26351523012910,90.13947430728350,5.42852100919449,95.8152222860727,102.070194868543,102.176710489671,103.533826827158,106.157812743348,99.0265028512204,99.0768768166987,98.8703698533819,101.03933014373,96.8136456643241
KCR,103.54761745301400,107.49121977542300,88.1958897872836,78.2428609740255,102.6192504576070,101.45286592471600,90.780782608879,104.22526966588300,99.5251700753785,7.29244429555982,94.0024518863892,102.096974174689,94.3686801934427,95.124606577121,83.6317825267501,102.702247859293,102.300556621739,102.750136895325,101.305734668761,97.7085569742123
NYY,120.2633056458420,107.6788740844790,125.79402359879400,94.72585083880290,111.58019734310200,109.85160908460900,113.69167856420000,106.60965869919500,107.64707433353200,7.27353473451939,76.4840060531577,102.290885443312,99.2637797581403,94.7420649234204,84.9658303347189,89.6259188040193,91.6368061431599,90.2258724959683,109.209210151911,93.1606277847307
TOR,102.53644973018900,92.0533169682875,99.30989547816760,121.99921094295800,93.84858748065940,110.76631891729800,143.83940149771600,90.6268145759499,97.35335499525370,3.99017499968713,106.57103795641,99.2818361374639,97.0865845015535,101.816789960526,122.344379548624,104.530105998798,102.735058620719,101.502320412298,101.205061188191,108.539525061294
LAD,103.85060273495000,102.76240798684200,100.43823368855600,96.63425681200680,101.40104684010000,99.63306022234050,94.20115491487630,103.84654735827000,115.44055511525200,7.86104496488935,82.6857842014027,95.5944638750724,103.514185650317,110.301403811613,101.866247702261,89.2765845659766,88.0695004054239,89.3623366197632,107.832465498151,102.879639297648
DET,106.28943823044600,103.88194095400700,107.09876912638500,101.38591331795100,103.79152054232300,103.49208006201600,102.80305639456800,105.6009534896350,110.1014152089890,7.79946130971736,98.3362094321807,92.5672346507831,100.175986506917,112.878213679593,84.9184278075342,101.626165822381,98.6806936454608,103.376969355252,96.0457767647946,104.448428820201
BAL,81.06820721080600,95.22734339441010,86.56659531989080,99.52630421851160,94.32557293625600,89.7241613514697,79.99793125827940,96.26452894738960,93.13053426688810,9.97436298950405,80.8623077764353,94.7693058967573,101.671999473427,111.095398949134,75.866814982503,92.5394257860465,90.4949391178355,95.1066282820342,103.270207595853,92.1936314572327
ATL,104.15235859839300,100.40422475290900,131.97937898453000,94.0648481052019,106.29285330250100,95.99688905645200,88.3466590523179,101.47113508889400,104.1497240517450,7.5391722363127,90.1777445151679,93.1394138448203,105.500579226312,115.03758536731,91.0314723428251,98.2595043776572,95.6414707367241,101.050749435267,103.21919149024,96.7695694795965
SDP,91.5900990780119,94.08006580830700,99.74191900620620,107.57892635657000,95.9270684102738,88.99261449053930,80.16184338611870,97.8228059213371,98.88511824197180,7.24570214175864,101.92741181506,96.6554874717431,106.718183604688,115.639723847768,108.566812416203,96.783226104195,94.9521904612761,97.8374814857901,101.807335811708,96.5717234286993
MIN,107.01503797644100,103.60556394662300,121.14623091272800,85.28620940009030,105.69422904250900,101.71848548238000,98.38330236247220,101.58008453468600,107.4779621732770,6.07624034131288,108.868995624444,94.2020176694546,106.562107641928,127.098552589248,114.798466149097,102.063801413557,97.79988492267,102.766814404965,98.2497122188649,99.1505617574653
HOU,69.25806612921220,90.5368670914737,71.39360093689580,89.03016961090710,86.8819645421854,82.73651662588180,69.19670952142230,89.60849964551430,88.9155298676263,3.20287686189498,107.627106256055,104.766455665626,100.621504653236,83.1106270499094,104.658141908839,101.281790165149,106.517525001257,101.226894298589,101.962918577161,100.84511598561
TEX,98.24058123471890,105.72068003110700,94.16576926715340,101.1212610156570,102.88622941501600,102.89032057516200,97.88799727996270,106.6927145670330,107.85189704763200,5.14887469482835,99.6451223990087,101.850160858374,101.465207840387,85.7177840260208,103.865281264261,97.1914271610799,102.470186110796,97.0235642705295,100.969274572301,99.9966926106511
ARI,98.00918298595260,95.97039359923340,112.31857857979400,131.12134588976900,99.28683096797680,104.07199620415400,118.13471517960100,102.75791579138100,96.33795759794410,3.43415465108107,113.595284798557,107.833357828712,88.0114941581809,89.7819404170877,108.947244086488,108.05819501391,106.748536205229,103.805076370128,98.29588367066,100.558450460696
COL,88.18366955622370,99.09404933693230,108.92923413703400,104.55048297200300,100.62121487211100,101.18230506129300,104.80708830883500,100.01628508257000,104.89651014374000,1.58213100004069,117.905980249994,115.979027789482,78.306441776146,65.9058702711299,114.093287919753,116.068676578973,119.684713048976,108.498622246071,92.6924470385642,104.81812338976
STL,103.68885513828400,100.32444574062600,106.91294480057200,99.39918595101690,101.77762656979600,99.87186356341620,99.08627381262640,101.02647435424300,110.44736554652400,5.59093581984069,102.301564710462,94.2495674591686,102.316311883424,109.928699688204,108.006921306117,100.461685156232,98.5149572632363,100.49554574928,98.3431414679869,97.0788469851917
SFG,102.54122582484800,101.03712820758300,96.05311598291580,90.44154594915310,100.03809231902200,99.082487673746,95.68963296760790,99.58110378615450,101.66996860477900,4.93023929997017,111.796002072353,94.1032126888767,102.464494950723,108.407833072458,94.6274404363724,104.703621853083,102.891879818539,106.384196341138,97.6022196354586,96.1587619626546
LAA,101.88935601265900,98.96300708963110,91.94452180870150,101.72384429653400,97.85385682408820,100.4867001116380,103.17966185017800,98.74450980781040,101.35979171613700,2.98589722849109,119.03564940186,110.272997150074,94.2477226522673,76.3675855734966,111.554753372566,102.994719749616,108.867271181258,100.144253717856,94.5712218637144,95.7160122847796
BOS,117.33315841596300,106.23527068125600,117.33506617199600,96.09644617150470,107.3608489457550,113.92764578785900,127.52304257572500,103.88557120738400,105.53080686467800,9.70589995066847,82.5716072279219,89.8875388759794,102.725300958102,123.295800775234,84.7971378098642,97.9302368287447,93.7038416925375,100.270701021906,98.3113383556696,101.617381193126
CHC,93.17921914659460,98.8908809907995,95.16408426963670,101.59395494234900,98.29099002965310,97.63881134963680,95.46547548511740,99.42794399543180,109.18758861318900,5.77073569257326,98.4636071415957,100.181290985621,107.100119955077,102.924210616066,105.047828656848,98.1015101106987,100.299283490402,99.5016728326662,99.1173635778889,95.1242623276603
CIN,112.70085351310000,106.2498534964220,98.80411970734530,102.58956936223400,104.19731461875800,109.92656609812400,116.30858439655600,105.65705149214800,107.49796020570900,7.90925283303493,91.2320958659053,106.889272452807,100.972556734427,101.071885021202,100.311136771506,97.3971306704365,97.6546820162473,97.4320033985183,103.609917969806,100.40304038078
TBR,112.33046793769400,100.7069272361430,115.74261406767200,113.57173787415600,103.59045978838800,103.194850466553,107.59197809569700,104.7747673880530,103.04456221384600,3.8126964640316,115.519417465987,100.611294788563,101.343185068517,114.947647599474,121.240921883368,105.462898467868,102.208866262992,103.960628544424,98.4634697224343,103.52714247059
WSN,99.96746872767800,100.0990762128900,101.05783337877200,99.1992451117832,100.61968942242800,99.77029585438270,99.19960064606410,100.72316226155900,99.26293346581240,8.30037295964008,98.1903598122385,98.4522949712384,94.3718771557938,102.384220454079,87.0346627180645,103.359360286843,100.633538284468,103.013843408886,98.3948932923089,110.458046359896
NYM,96.17684058378420,97.70205555056680,97.0076811375425,96.89322135983060,97.59261999518690,96.56496498848060,94.59120920162690,97.25917119178530,88.78678626795850,4.70444335882463,108.905334728469,106.342358491234,104.251706453856,83.6152435094808,92.6785911524017,96.2849515355352,103.197015644969,98.2020789375744,96.4451777207902,88.996011545484
CHW,92.79768417305450,93.75004448344630,106.24622624532200,76.38211458350240,98.2486614102281,98.76733134350940,107.63481683991500,86.20988820376340,90.9142984055718,3.78639140550937,122.964437266689,106.245962409988,104.363818134775,81.3830527756038,124.025027671234,105.657914673908,114.097156675881,104.825654447719,95.4137871277394,97.2952552536955
CLE,94.92195380037610,94.88333324488340,112.3620530442350,112.4382682159200,99.14023144069800,91.93240275699700,86.71698296899490,99.98554381696340,102.88722077186400,6.6423368639044,89.6106238415988,93.2617457112685,106.588627373985,114.60367469979,95.7673099916421,97.062497110753,94.6215708073803,99.7526289093718,105.889672624796,98.2145426650995
OAK,96.11914403225480,101.00109033878100,91.72910816582830,105.90030239802100,98.90135779809280,94.35909744502150,82.62015106586930,105.09062584537200,108.2249898632180,4.12092612189719,114.552643351355,108.648481140783,89.5142934635174,83.9065583005478,89.7818528977791,106.475446180204,107.065471048107,104.665404155349,95.0829433735342,104.495409387914
MIL,107.80368597422100,98.95179313151550,105.50270407976600,100.83883305071900,101.46502132815500,104.84886931032200,115.08498296874700,97.59906647554540,95.99219835259030,5.44274353241507,92.3306815309111,103.105300928108,96.2276180676967,96.7709537434871,109.041298112644,97.0383935408953,97.2878529149649,94.6554056016088,105.915158096343,103.014159042587